Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Samsung,2020,Android,192 גרם,Galaxy A21s,סמארטפון,מסך מגע,4GB,2000 2000 MHz,4,6.5 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,270 ppi,לא זמין,Curved P-OLED,ללא,לא זמין,Micro SD/T-Flash,13‏ מגה פיקסל,48 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,2090,2090,אופציונאלי,5.0,"5,000 mAh",4
Samsung,2020,Android,199 גרם,Galaxy Note 10,סמארטפון,מסך מגע,8GB,2700 1700 MHz,4,6.7 אינטש,4 + 4 ליבות,1080x2400‏ פיקסלים,394 ppi,לא זמין,Super AMOLED,ללא,לא זמין,Micro SD/T-Flash,32‏ מגה פיקסל,12 + 12 + 12 מגה פיקסל,כולל,כולל,1195,1555,כולל,5.0,"4,500 mAh",4
Apple,2017,iOS,148 גרם,iPhone 8,סמארטפון,3D Touch,2GB,לא זמין,4,4.7 אינטש,10 ליבות,1334x750‏ פיקסלים,326 ppi,לא זמין,IPS,IP67,לא זמין,ללא,7‏ מגה פיקסל,12 מגה פיקסל,כולל,כולל,1089,2799,כולל,5.0,"1,821 mAh",4
OnePlus,2020,Android,188 גרם,8,סמארטפון,מסך מגע,8GB,2840 2420 1800 MHz,5,6.55 אינטש,8 ליבות,1080x2400‏ פיקסלים,402 ppi,120 Hz,Fluid AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 16 + 5 + 2 מגה פיקסל,כולל,כולל,1430,2249,כולל,5.1,"4,500 mAh",4
Samsung,2020,Android,150 גרם,Galaxy A01,סמארטפון,מסך מגע,2GB,1950 1450 MHz,4,5.7 אינטש,4 + 4 ליבות,720x1520‏ פיקסלים,301 ppi,לא זמין,PLS,ללא,לא זמין,Micro SD/T-Flash,5‏ מגה פיקסל,8 + 5 מגה פיקסל,ללא,כולל,537,537,ללא,4.2,"3,000 mAh",4
Xiaomi,לא זמין,Android,179 גרם,לא זמין,סמארטפון,מסך מגע,6GB,2000 2050 MHz,4,6.43 אינטש,לא זמין,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,IP53,לא זמין,microSDXC,16‏ מגה פיקסל,108 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,798,1169,אופציונאלי,5.0,"5,000 mAh",4
Realme,2021,Android,186 גרם,לא זמין,סמארטפון,מסך מגע,8GB,1800 2420 2840 MHz,4,6.43 אינטש,1 + 3 + 4,1080x2400‏ פיקסלים,409 ppi,120 Hz,Super AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,1799,1799,כולל,5.2,"4,500 mAh",4
EasyPhone,לא זמין,לא זמין,לא זמין,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,319,469,לא זמין,לא זמין,לא זמין,4
Samsung,2021,Android,189 גרם,לא זמין,סמארטפון,מסך מגע,6GB,1900 2200 2400 MHz,4,6.5 אינטש,1+3+4,1080x2400‏ פיקסלים,405 ppi,120 Hz,Super AMOLED,IP67,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 12 + 5 + 5 צגה פיקסל,כולל,כולל,1220,1408,כולל,5.0,"4,500 mAh",4
Apple,2020,iOS,189 גרם,iPhone 12 Pro,סמארטפון,מסך מגע,לא זמין,לא זמין,5,6.1 אינטש,6 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 + 12 מגה פיקסל,ללא,כולל,3090,5199,כולל,5.0,לא זמין,4
Samsung,2019,Android,179 גרם,Galaxy A71,סמארטפון,מסך מגע,8GB,2200 1800 MHz,4,6.7 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,393 ppi,לא זמין,Super AMOLED,ללא,לא זמין,Micro SD/T-Flash,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,1090,1529,אופציונאלי,5.0,"4,500 mAh",4
Apple,2018,iOS,177 גרם,iPhone XS,סמארטפון,מסך מגע,4GB,לא זמין,4,5.8 אינטש,8 ליבות,1125x2436‏ פיקסלים,458 ppi,לא זמין,Super AMOLED,IP68,לא זמין,ללא,7‏ מגה פיקסל,12 + 12 מגה פיקסלים,כולל,כולל,1090,5090,כולל,5.0,לא זמין,4
Samsung,2020,Android,205 גרם,Galaxy A12,סמארטפון,מסך מגע,4GB,1800 2350 MHz,4,6.5 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,264 ppi,לא זמין,PLS LCD,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,48 + 5 + 2 + 2 מגה פיקסל,כולל,כולל,518,2890,אופציונאלי,5.0,"5,000 mAh",4
Samsung,2020,Android,192 גרם,Galaxy Note 20,סמארטפון,מסך מגע,8GB,2730 2500 2000 MHz,4,6.7 אינטש,2+2+4,1080x2400‏ פיקסלים,393 ppi,לא זמין,Super AMOLED,IP68,לא זמין,ללא,10‏ מגה פיקסל,12 + 64 + 12 מגה פיקסל,כולל,כולל,1800,3479,כולל,5.0,"4,300 mAh",4
Xiaomi,2021,Android,190 גרם,Redmi Note 10,סמארטפון,מסך מגע,4GB,2000 2200 MHz,4,6.5 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,405 ppi,90 Hz,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,48 + 2 + 2 מגה פיקסל,כולל,כולל,750,939,כולל,5.1,"5,000 mAh",4
Xiaomi,לא זמין,Android,204 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,4,לא זמין,4 + 4 ליבות,לא זמין,268 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,5‏ מגה פיקסל,13 + 2 מגה פיקסל,כולל,כולל,678,678,אופציונאלי,5.0,"6,000 mAh",4
Xiaomi,2021,Android,178.8 גרם,Redmi Note 10S,סמארטפון,מסך מגע,8GB,2000 2050 MHz,4,6.43 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,409 ppi,לא זמין,AMOLED,IP53,לא זמין,microSDXC,13‏ מגה פיקסל,64 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,840,949,אופציונאלי,5.1,"5,000 mAh",4
OnePlus,2021,Android,170 גרם,לא זמין,סמארטפון,מסך מגע,12GB,1800 2200 MHz,4,6.43 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,410 ppi,90 Hz,Fluid AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,1150,1569,כולל,5.1,"4,500 mAh",4
Samsung,2017,Android,155 גרם,Galaxy S8,סמארטפון,מסך מגע,4GB,2300 1700 MHz,4,5.8 אינטש,4 + 4 ליבות,2960x1440‏ פיקסלים,570 ppi,לא זמין,Super AMOLED,IP68,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,12 מגה פיקסל,כולל,כולל,990,1449,כולל,5.0,"3,000 mAh",4
OnePlus,2021,Android,189 גרם,Nord 2,סמארטפון,מסך מגע,12GB,3000 2600 2000 MHz,5,6.43 אינטש,1+3+4,1080x2400‏ פיקסלים,409 ppi,90 Hz,Fluid AMOLED,ללא,לא זמין,ללא,32‏ מגה פיקסל,50 + 8 + 2 מגה פיקסל,כולל,כולל,1525,1837,כולל,5.2,"4,500 mAh",4
Xiaomi,2021,Android,157 גרם,Mi 11 Lite,סמארטפון,מסך מגע,8GB,1800 2300 MHz,4,6.55 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,402 ppi,90 Hz,AMOLED,IP53,לא זמין,microSDXC,16‏ מגה פיקסל,64 + 8 + 5 מגה פיקסל,כולל,כולל,1169,1169,כולל,5.1,"4,250 mAh",4
OnePlus,לא זמין,Android,204 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.7 אינטש,לא זמין,לא זמין,394 ppi,120 Hz,Fluid AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,50 + 8 + 2 מגה פיקסל,כולל,כולל,2241,2440,כולל,5.2,"4,800 mAh",4
Samsung,לא זמין,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,6GB,2000 2400 MHz,4,6.4 אינטש,לא זמין,1080x2400‏ פיקסלים,407 ppi,120 Hz,Super AMOLED,IP67,שחור,microSDXC,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,1235,1379,אופציונאלי,5.2,"5,000 mAh",4
Xiaomi,2020,Android,216 גרם,Mi 10T,סמארטפון,מסך מגע,6GB,2840 2420 1800 MHz,5,6.67 אינטש,1+3+4,1080x2400‏ פיקסלים,395 ppi,לא זמין,IPS,ללא,לא זמין,ללא,20‏ מגה פיקסל,64 + 13 + 5 מגה פיקסל,כולל,כולל,930,1609,כולל,5.1,"5,000 mAh",4
Google,2020,Android,151 גרם,Pixel,סמארטפון,מסך מגע,8GB,לא זמין,5,6 אינטש,1 + 1 + 6,1080x2340‏ פיקסלים,432 ppi,90 Hz,OLED,IP68,שחור,ללא,8‏ מגה פיקסל,12.2 + 16 מגה פיקסל,כולל,כולל,1328,1890,כולל,5.0,"4,080 mAh",4
LG,2019,Android,181 גרם,G8,סמארטפון,מסך מגע,6GB,2840 2420 1800 MHz,4,6.21 אינטש,1+3+4,1080x2248‏ פיקסלים,401 ppi,לא זמין,P-OLED,IP68,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,12 + 12 + 13 מגה פיקסל,כולל,כולל,1369,1800,כולל,5.0,"3,550 mAh",4
Apple,2018,iOS,208 גרם,iPhone XS Max,סמארטפון,מסך מגע,4GB,לא זמין,4,6.5 אינטש,8 ליבות,1242x2688‏ פיקסלים,458 ppi,לא זמין,Super AMOLED,IP68,לא זמין,ללא,7‏ מגה פיקסל,12 + 12 מגה פיקסלים,לא זמין,כולל,1600,5799,כולל,5.0,לא זמין,4
OPPO,2021,Android,182 גרם,Reno6,סמארטפון,מסך מגע,8GB,2000 2400 MHz,5,6.43 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,ללא,לא זמין,ללא,32‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,1499,1689,אופציונאלי,5.2,"4,300 mAh",4
לא זמין,לא זמין,Android,195 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.53 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,269 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,לא זמין,כולל,כולל,879,930,ללא,4.2,לא זמין,4
Samsung,2020,Android,186 גרם,Galaxy S20,סמארטפון,מסך מגע,8GB,2730 2600 2000 MHz,4,6.7 אינטש,2+2+4,1440x3200‏ פיקסלים,525 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,Micro SD/T-Flash,10‏ מגה פיקסל,12 + 64 + 12 מגה פיקסל,כולל,כולל,1750,2749,כולל,5.0,"4,500 mAh",4
Samsung,2019,Android,168 גרם,Galaxy A10,סמארטפון,מסך מגע,2GB,1600 1350 MHz,4,6.2 אינטש,2 + 6 ליבות,720x1520‏ פיקסלים,271 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,5‏ מגה פיקסל,13 מגה פיקסל,ללא,כולל,480,757,ללא,5.0,"3,400 mAh",4
Samsung,2020,Android,186 גרם,Galaxy S10,סמארטפון,מסך מגע,8GB,2840 2420 1780 MHz,4,6.7 אינטש,1 + 3 + 4,1080x2400‏ פיקסלים,394 ppi,לא זמין,Super AMOLED,ללא,לא זמין,Micro SD/T-Flash,32‏ מגה פיקסל,48 + 12 + 8 מגה פיקסל,כולל,כולל,1450,1489,כולל,5.0,"4,500 mAh",4
Apple,2019,iOS,194 גרם,iPhone 11,סמארטפון,מסך מגע,4GB,2650 1800 MHz,4,6.1 אינטש,2 + 4 ליבות,828x1792‏ פיקסלים,326 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,2390,5090,כולל,5.0,"3,110 mAh",4
Realme,לא זמין,Android,182 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.4 אינטש,לא זמין,1080x2400‏ פיקסלים,411 ppi,90 Hz,Super AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,50 + 8 + 2 מגה פיקסל,כולל,כולל,1329,1499,אופציונאלי,5.2,"4,500 mAh",4
Apple,2020,iOS,135 גרם,iPhone 12 mini,סמארטפון,מסך מגע,4GB,1800 3100 MHz,5,5.4 אינטש,6 ליבות,1080x2340‏ פיקסלים,476 ppi,לא זמין,Super Retina,IP67,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,1750,2899,כולל,5.0,"2,227 mAh",4
Nokia,2019,לא זמין,75 גרם,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,לא זמין,1.77 אינטש,לא זמין,120x160‏ פיקסלים,113 ppi,לא זמין,TFT,לא זמין,לא זמין,microSDHC,לא כולל‏ מגה פיקסל,לא זמין,לא זמין,לא כולל,148,193,ללא,לא כולל,800 mAh,4
OnePlus,2021,Android,170 גרם,לא זמין,סמארטפון,מסך מגע,8GB,1800 2200 MHz,4,6.43 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,410 ppi,90 Hz,Fluid AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,900,1450,כולל,5.1,"4,500 mAh",4
Samsung,2020,Android,205 גרם,Galaxy A12,סמארטפון,מסך מגע,4GB,1800 2350 MHz,4,6.5 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,270 ppi,לא זמין,"PLS IPS, PLS LCD",לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,48 + 5 + 2 + 2 מגה פיקסל,כולל,כולל,550,659,כולל,5.0,"5,000 mAh",4
OPPO,2021,Android,173 גרם,A94 5G,סמארטפון,מסך מגע,8GB,2000 2400 MHz,4,6.43 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,409 ppi,לא זמין,Super AMOLED,ללא,לא זמין,ללא,16‏ מגה פיקסל,48 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,1470,1566,כולל,5.1,430 mAh,4
Samsung,לא זמין,Android,187 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.7 אינטש,לא זמין,1080x2640‏ פיקסלים,426 ppi,120 Hz,Foldable Dynamic AMOLED 2X,IPX8,לא זמין,ללא,10‏ מגה פיקסל,12 + 12 מגה פיקסלים,כולל,כולל,3145,4259,כולל,5.2,"3,700 mAh",4
OPPO,לא זמין,Android,173 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2400 MHz,4,6.43 אינטש,לא זמין,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,לא זמין,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,1550,1649,כולל,5.2,"4,500 mAh",4
לא זמין,2020,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,5.7 אינטש,4 + 4 ליבות,720x1440‏ פיקסלים,282 ppi,לא זמין,IPS LCD,IP68,לא זמין,microSDXC,13‏ מגה פיקסל,לא זמין,כולל,כולל,885,1099,כולל,4.2,לא זמין,4
Xiaomi,2021,Android,178.8 גרם,Redmi Note 10S,סמארטפון,מסך מגע,6GB,2050 2000 MHz,4,6.43 אינטש,2 + 4 ליבות,1080x2400‏ פיקסלים,409 ppi,לא זמין,AMOLED,IP53,לא זמין,microSDXC,13‏ מגה פיקסל,64 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,730,949,אופציונאלי,5.1,"5,000 mAh",4
Nokia,2013,לא זמין,89.6 גרם,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,3,2.4 אינטש,לא זמין,320x240‏ פיקסלים,167 ppi,לא זמין,TFT,ללא,לא זמין,Micro SD/T-Flash,לא כולל‏ מגה פיקסל,1.3 מגה פיקסל,ללא,לא כולל,249,449,ללא,3.0,"1,020 mAh",4
Apple,2020,iOS,148 גרם,iPhone SE 2020,סמארטפון,מסך מגע,3GB,2650 1800 MHz,4,4.7 אינטש,2 + 4 ליבות,1334x750‏ פיקסלים,326 ppi,לא זמין,Retina IPS,IP67,לא זמין,ללא,7‏ מגה פיקסל,12 מגה פיקסל,כולל,כולל,1190,1999,כולל,5.0,"1,821 mAh",5
לא זמין,2021,Android,לא זמין,לא זמין,סמארטפון,מסך מגע,8GB,2000 2050 MHz,4,לא זמין,לא זמין,לא זמין,401 ppi,90 Hz,IPS LCD,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,לא זמין,כולל,כולל,1289,1450,כולל,5.2,לא זמין,5
OPPO,לא זמין,Android,173 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2400 MHz,4,6.43 אינטש,לא זמין,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,לא זמין,לא זמין,microSDXC,32‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,1779,2199,כולל,5.2,"4,500 mAh",5
Nokia,2020,Android,220 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2400 2200 1800 MHz,5,6.81 אינטש,8 ליבות,1080x2460‏ פיקסלים,386 ppi,60 Hz,IPS,ללא,כחול,Micro SD/T-Flash,24‏ מגה פיקסל,64 + 12 + 2 + 2 מגה פיקסל,כולל,כולל,2000,2000,כולל,5.0,"4,500 mAh",5
Apple,2017,iOS,202 גרם,iPhone 8 Plus,סמארטפון,3D Touch,3GB,לא זמין,4,5.5 אינטש,10 ליבות,1080x1920‏ פיקסלים,401 ppi,לא זמין,IPS,IP67,לא זמין,ללא,7‏ מגה פיקסל,12 מגה פיקסל,כולל,כולל,999,1699,כולל,5.0,"2,691 mAh",5
Nokia,2017,לא זמין,73 גרם,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,לא זמין,2,1.8 אינטש,לא זמין,120x160‏ פיקסלים,111 ppi,לא זמין,TFT,ללא,לא זמין,ללא,לא כולל‏ מגה פיקסל,ללא,ללא,לא כולל,108,108,לא זמין,לא כולל,800 mAh,5
Xiaomi,לא זמין,Android,194 גרם,לא זמין,סמארטפון,מסך מגע,2GB,לא זמין,4,6.53 אינטש,4 + 4 ליבות,720x1600‏ פיקסלים,269 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,5‏ מגה פיקסל,13 מגה פיקסל,כולל,כולל,496,499,ללא,5.0,"5,000 mAh",5
Samsung,2017,Android,173 גרם,Galaxy S8 Plus,סמארטפון,מסך מגע,4GB,2300 1700 MHz,4,6.2 אינטש,4 + 4 ליבות,2960x1440‏ פיקסלים,529 ppi,לא זמין,Super AMOLED,IP68,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,12 מגה פיקסל,כולל,כולל,1050,1899,כולל,5.0,"3,500 mAh",5
OnePlus,לא זמין,Android,187 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,4,לא זמין,לא זמין,לא זמין,269 ppi,לא זמין,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,לא זמין,כולל,כולל,597,699,ללא,לא זמין,"5,000 mAh",5
Samsung,2021,Android,271 גרם,לא זמין,סמארטפון,מסך מגע,12GB,1800 2420 2840 MHz,4,7.6 אינטש,1 + 3 + 4,1768x2208‏ פיקסלים,374 ppi,120 Hz,Foldable Dynamic AMOLED 2X,IPX8,לא זמין,ללא,16‏ מגה פיקסל,12 +12 +12 מגה פיקסל,כולל,כולל,4790,6199,כולל,5.2,"4,400 mAh",5
Samsung,2019,Android,168 גרם,Galaxy A10,סמארטפון,מסך מגע,2GB,2000 MHz,4,6.2 אינטש,8 ליבות,720x1520‏ פיקסלים,271 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,13 + 2 מגה פיקסל,כולל,כולל,599,599,ללא,5.0,"4,000 mAh",5
Samsung,2019,Android,220 גרם,Galaxy A80,סמארטפון,מסך מגע,8GB,2200 1800 MHz,4,6.7 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,393 ppi,לא זמין,Super AMOLED,ללא,לא זמין,ללא,לא זמין,48 + 5 מגה פיקסל,כולל,כולל,2145,2145,כולל,5.0,"3,700 mAh",5
Samsung,2018,Android,163 גרם,Galaxy S9,סמארטפון,מסך מגע,4GB,2800 1700 MHz,4,5.8 אינטש,4 + 4 ליבות,1440x2960‏ פיקסלים,570 ppi,לא זמין,Super AMOLED,IP68,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,12 מגה פיקסל,כולל,כולל,955,2499,כולל,5.0,"3,000 mAh",5
Google,2017,Android,175 גרם,Pixel,לא זמין,מסך מגע,4GB,2350 1900 MHz,4,6 אינטש,4 + 4 ליבות,1440x2880‏ פיקסלים,538 ppi,לא זמין,P-OLED,IP67,לא זמין,ללא,8‏ מגה פיקסל,12.2 מגה פיקסל,כולל,כולל,690,999,כולל,5.0,"3,520 mAh",5
Xiaomi,2021,Android,203 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,5,6.67 אינטש,לא זמין,1080x2400‏ פיקסלים,395 ppi,120 Hz,AMOLED,IP53,לא זמין,ללא,16‏ מגה פיקסל,108 + 8 + 5 מגה פיקסל,כולל,כולל,1449,1900,כולל,5.2,"5,000 mAh",5
Realme,2021,Android,186 גרם,לא זמין,סמארטפון,מסך מגע,12GB,1800 2420 2840 MHz,4,6.43 אינטש,1+3+4,1080x2400‏ פיקסלים,409 ppi,120 Hz,Super AMOLED,לא זמין,לא זמין,ללא,16‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,2099,2099,כולל,5.2,"4,500 mAh",5
Xiaomi,2021,Android,159 גרם,Mi 11 Lite,סמארטפון,מסך מגע,8GB,1900 2200 2400 MHz,4,6.55 אינטש,1+3+4,1080x2400‏ פיקסלים,402 ppi,90 Hz,AMOLED,IP53,לא זמין,microSDXC,20‏ מגה פיקסל,64 + 8 + 5 מגה פיקסל,כולל,כולל,990,1369,כולל,5.2,"4,250 mAh",5
Nokia,2019,KaiOS,161 גרם,לא זמין,טלפון רגיל,מקשי ספרות,לא זמין,1100 MHz,4,2.4 אינטש,2 ליבות,240x320‏ פיקסלים,167 ppi,לא זמין,TFT,IP68,לא זמין,microSDHC,לא כולל‏ מגה פיקסל,2 מגה פיקסל,לא זמין,כולל,480,524,ללא,4.1,"2,100 mAh",5
Apple,לא זמין,iOS,206 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.1 אינטש,לא זמין,לא זמין,460 ppi,120 Hz,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,לא זמין,לא זמין,כולל,6580,7048,כולל,לא זמין,לא זמין,5
Samsung,2017,Android,195 גרם,Note8,סמארטפון,מסך מגע,6GB,2300 1700 MHz,4,6.3 אינטש,4 + 4 ליבות,1440x2960‏ פיקסלים,522 ppi,לא זמין,Super AMOLED,IP68,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,12 + 12 מגה פיקסלים,כולל,כולל,1150,2199,כולל,5.0,"3,300 mAh",5
Samsung,2020,Android,190 גרם,Galaxy S20,סמארטפון,מסך מגע,8GB,2730 2500 2000 MHz,4,6.5 אינטש,2+2+4,1080x2400‏ פיקסלים,407 ppi,לא זמין,Super AMOLED,IP68,לא זמין,Micro SD/T-Flash,32‏ מגה פיקסל,12 + 8 + 12 מגה פיקסל,כולל,כולל,1380,1800,כולל,5.0,"4,500 mAh",5
Realme,2021,Android,176 גרם,לא זמין,סמארטפון,מסך מגע,6GB,1800 2300 MHz,4,6.4 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,411 ppi,לא זמין,Super AMOLED,לא זמין,לא זמין,microSDXC,16‏ מגה פיקסל,108 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,1089,1089,כולל,5.0,"4,500 mAh",5
Xiaomi,2020,Android,198 גרם,Poco M3,סמארטפון,מסך מגע,4GB,2000 1800 MHz,4,6.53 אינטש,4 + 4 ליבות,1080x2340‏ פיקסלים,395 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,48 + 2 + 2 מגה פיקסל,כולל,כולל,899,899,ללא,5.0,"6,000 mAh",5
Google,2019,Android,162 גרם,Pixel 4,סמארטפון,מסך מגע,6GB,2840 2420 1780 MHz,4,5.7 אינטש,1 + 3 + 4,1080x2280‏ פיקסלים,444 ppi,90 Hz,P-OLED,IP68,לא זמין,ללא,8‏ מגה פיקסל,12.2 + 16 מגה פיקסל,ללא,כולל,815,950,כולל,5.0,"2,800 mAh",5
Xiaomi,2021,Android,203 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.67 אינטש,1+3+4,1080x2400‏ פיקסלים,395 ppi,120 Hz,AMOLED,IP53,לא זמין,ללא,16‏ מגה פיקסל,108 + 8 + 5 מגה פיקסל,כולל,כולל,1519,1849,כולל,5.2,"5,000 mAh",5
Samsung,2020,Android,190 גרם,Galaxy S20,סמארטפון,מסך מגע,6GB,1800 2420 2840 MHz,4,6.5 אינטש,1 + 3 + 4,1080x2400‏ פיקסלים,407 ppi,120 Hz,Super AMOLED,IP68,לא זמין,microSDXC,32‏ מגה פיקסל,12 + 8 + 12 מגה פיקסל,כולל,כולל,1420,1877,כולל,5.0,"4,500 mAh",5
OnePlus,2020,Android,190 גרם,Nord,סמארטפון,מסך מגע,6GB,2000 1700 MHz,5,6.49 אינטש,2 + 6 ליבות,1080x2400‏ פיקסלים,406 ppi,90 Hz,"IPS, IPS LCD",ללא,אפור,Micro SD/T-Flash,16‏ מגה פיקסל,64 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,938,1189,כולל,5.1,"4,300 mAh",5
Realme,לא זמין,Android,195 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.6 אינטש,לא זמין,לא זמין,400 ppi,120 Hz,IPS LCD,לא זמין,לא זמין,microSDXC,16‏ מגה פיקסל,64 + 8 + 2 מגה פיקסל,כולל,כולל,1198,1299,אופציונאלי,5.1,"5,000 mAh",5
Xiaomi,2020,Android,199 גרם,Redmi Note 9,סמארטפון,מסך מגע,4GB,2000 1800 MHz,4,6.53 אינטש,2 + 6 ליבות,1800x2340‏ פיקסלים,395 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,13‏ מגה פיקסל,48 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,720,1389,אופציונאלי,5.0,"5,020 mAh",5
OPPO,לא זמין,Android,189 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,לא זמין,4 + 4 ליבות,לא זמין,269 ppi,90 Hz,IPS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,13 + 2 מגה פיקסל,כולל,כולל,947,999,ללא,5.0,"5,000 mAh",5
