Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Samsung,לא זמין,Android,195 גרם,לא זמין,סמארטפון,מסך מגע,4GB,2000 2000 MHz,4,6.6 אינטש,4 + 4 ליבות,לא זמין,400 ppi,לא זמין,PLS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,לא זמין,כולל,כולל,564,730,אופציונאלי,5.0,"5,000 mAh",1
Samsung,2021,Android,200 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,2900 2800 2200 MHz,5,6.7 אינטש,1+3+4,1080x2400‏ פיקסלים,394 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,Micro SD/T-Flash,10‏ מגה פיקסל,12 + 64 + 12 מגה פיקסל,כולל,כולל,2790,3497,כולל,5.0,"4,800 mAh",1
Xiaomi,לא זמין,Android,205 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.67 אינטש,לא זמין,1080x2400‏ פיקסלים,395 ppi,120 Hz,AMOLED,IP53,לא זמין,microSDXC,16‏ מגה פיקסל,לא זמין,כולל,כולל,1233,1499,אופציונאלי,5.1,"5,000 mAh",1
Xiaomi,לא זמין,Android,205 גרם,לא זמין,סמארטפון,מסך מגע,12GB,לא זמין,4,6.67 אינטש,לא זמין,לא זמין,לא זמין,120 Hz,AMOLED,IP53,לא זמין,ללא,20‏ מגה פיקסל,לא זמין,כולל,כולל,2490,2798,אופציונאלי,5.2,"5,000 mAh",1
Apple,לא זמין,iOS,206 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.1 אינטש,לא זמין,לא זמין,460 ppi,120 Hz,לא זמין,לא זמין,לא זמין,לא זמין,12‏ מגה פיקסל,לא זמין,לא זמין,כולל,4390,5400,כולל,לא זמין,לא זמין,1
Xiaomi,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,1177,1299,לא זמין,לא זמין,לא זמין,1
Google,לא זמין,Android,178 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.1 אינטש,לא זמין,1080x2400‏ פיקסלים,לא זמין,לא זמין,OLED,IP67,לא זמין,ללא,8‏ מגה פיקסל,לא זמין,כולל,כולל,1266,1690,כולל,5.2,לא זמין,1
Apple,2020,iOS,228 גרם,iPhone 12 Pro Max,סמארטפון,מסך מגע,לא זמין,לא זמין,5,6.7 אינטש,6 ליבות,1284x2778‏ פיקסלים,458 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 + 12 מגה פיקסל,ללא,כולל,3190,6899,כולל,5.0,לא זמין,1
Apple,2021,iOS,204 גרם,iPhone 13,סמארטפון,מסך מגע,6GB,לא זמין,5,6.1 אינטש,2 + 4 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 +12 +12 מגה פיקסל,ללא,כולל,3790,4508,כולל,5.0,לא זמין,1
Apple,2021,iOS,240 גרם,iPhone 13,סמארטפון,מסך מגע,6GB,לא זמין,5,6.7 אינטש,2 + 4 ליבות,1284x2778‏ פיקסלים,458 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 +12 +12 מגה פיקסל,ללא,כולל,4230,6019,כולל,5.0,לא זמין,1
Google,לא זמין,Android,197 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.3 אינטש,לא זמין,1080x2400‏ פיקסלים,לא זמין,90 Hz,AMOLED,IP68,לא זמין,ללא,לא זמין,לא זמין,כולל,כולל,2108,2999,אופציונאלי,5.2,לא זמין,1
Apple,לא זמין,iOS,240 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.7 אינטש,לא זמין,לא זמין,460 ppi,120 Hz,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,לא זמין,לא זמין,כולל,4587,5600,כולל,לא זמין,לא זמין,1
Apple,לא זמין,iOS,172 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,4,6.1 אינטש,לא זמין,1170x2532‏ פיקסלים,460 ppi,לא זמין,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,לא זמין,כולל,3690,4499,כולל,לא זמין,לא זמין,1
Apple,2021,iOS,141 גרם,iPhone 13,סמארטפון,מסך מגע,4GB,לא זמין,5,5.4 אינטש,2 + 4 ליבות,1080x2340‏ פיקסלים,476 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,2370,3155,כולל,5.0,לא זמין,1
Samsung,לא זמין,Android,195 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,4,6.6 אינטש,4 + 4 ליבות,לא זמין,400 ppi,90 Hz,PLS LCD,לא זמין,לא זמין,microSDXC,8‏ מגה פיקסל,לא זמין,כולל,כולל,713,939,ללא,5.0,"5,000 mAh",1
Samsung,2020,Android,208 גרם,Galaxy Note 20,סמארטפון,מסך מגע,12GB,2730 2500 2000 MHz,5,6.9 אינטש,2+2+4,1440x3088‏ פיקסלים,494 ppi,120 Hz,Dynamic AMOLED,IP68,לא זמין,Micro SD/T-Flash,10‏ מגה פיקסל,108 + 12 + 12 מגה פיקסל,כולל,כולל,2459,3999,כולל,5.0,"4,500 mAh",1
Xiaomi,2020,Android,198 גרם,Poco M3,סמארטפון,מסך מגע,4GB,2000 1800 MHz,4,6.53 אינטש,4 + 4 ליבות,1080x2340‏ פיקסלים,395 ppi,לא זמין,IPS,ללא,לא זמין,Micro SD/T-Flash,8‏ מגה פיקסל,48 + 2 + 2 מגה פיקסל,כולל,כולל,890,890,ללא,5.0,"6,000 mAh",1
Xiaomi,2021,Android,204 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.67 אינטש,לא זמין,1080x2400‏ פיקסלים,395 ppi,120 Hz,Super AMOLED,IP53,לא זמין,microSDXC,16‏ מגה פיקסל,לא זמין,כולל,כולל,1347,1979,כולל,5.2,"4,500 mAh",1
Samsung,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,לא זמין,3145,3958,לא זמין,לא זמין,לא זמין,1
